№,Пример,Левый контекст,Вершина,,Зависимое,Правый контекст,Зависимые вершины,Зависимые генитива,Отношение,Грамм. признаки вершины,Вершина: сем. группа,,Грам. признаки зависимого,Зависимое: сем. группа
1,"Вообще-то  сын  партнера  Сильвестра  Андреевича ,  олигарха  Льва  Мартынова  появился  в  "" Универе ""  еще  в  последних  сериях  прошлого  сезона",Вообще-то,сын,,партнера,"Сильвестра  Андреевича ,  олигарха  Льва  Мартынова  появился  в  "" Универе ""  еще  в  последних  сериях  прошлого  сезона","Сильвестра  Андреевича ,  олигарха  Льва  Мартынова",,KIN-SOC,Ncmsny,Близкое родство,http://www.labinform.ru/pub/ruthes/c/18/000/6476.htm,,Участник
2,"Москвичка  Ольга  просит помочь ей в такой ситуации:  Напомним, что  в  марте  вице-премьер  Правительства  –  полномочный  представитель  Президента  РФ в  СКФО  Александр  Хлопонин  провел  совещание  с  членами  инициативной  группы  по  организации  форума  ""Машук-2012"",  который  состоится  в  первой  половине июля.","Москвичка  Ольга  просит помочь ей в такой ситуации:  Напомним, что  в  марте  ",вице-премьер,,Правительства,полномочный  представитель  Президента  РФ,полномочный  представитель  Президента  РФ в  СКФО  Александр  Хлопонин ,,KIN-SOC,Nsmsny,Государственный деятель,,Ncnsgn,
3,"Москвичка  Ольга  просит помочь ей в такой ситуации:  Напомним, что  в  марте  вице-премьер  Правительства  –  полномочный  представитель  Президента  РФ в  СКФО  Александр  Хлопонин  провел  совещание  с  членами  инициативной  группы  по  организации  форума  ""Машук-2012"",  который  состоится  в  первой  половине июля.","Москвичка  Ольга  просит помочь ей в такой ситуации:  Напомним, что  в  марте  вице-премьер  Правительства  –  полномочный  ",представитель,,Президента," РФ в  СКФО  Александр  Хлопонин  провел  совещание  с  членами  инициативной  группы  по  организации  форума  ""Машук-2012"",  который  состоится  в  первой  половине июля.",в  СКФО; Александр  Хлопонин, РФ в  СКФО,KIN-SOC,Ncmsny,,,Ncmsgy,
4,"Москвичка  Ольга  просит помочь ей в такой ситуации:  Напомним, что  в  марте  вице-премьер  Правительства  –  полномочный  представитель  Президента  РФ в  СКФО  Александр  Хлопонин  провел  совещание  с  членами  инициативной  группы  по  организации  форума  ""Машук-2012"",  который  состоится  в  первой  половине июля.","Москвичка  Ольга  просит помочь ей в такой ситуации:  Напомним, что  в  марте  вице-премьер  Правительства  –  полномочный  представитель  ",Президента,,РФ,"в  СКФО  Александр  Хлопонин  провел  совещание  с  членами  инициативной  группы  по  организации  форума  ""Машук-2012"",  который  состоится  в  первой  половине июля.",,,MB,Ncmsgy,,,Ncfsgn,
5,"Москвичка  Ольга  просит помочь ей в такой ситуации:  Напомним, что  в  марте  вице-премьер  Правительства  –  полномочный  представитель  Президента  РФ в  СКФО  Александр  Хлопонин  провел  совещание  с  членами  инициативной  группы  по  организации  форума  ""Машук-2012"",  который  состоится  в  первой  половине июля.","Москвичка  Ольга  просит помочь ей в такой ситуации:  Напомним, что  в  марте  вице-премьер  Правительства  –  полномочный  представитель  Президента  РФ в  СКФО  Александр  Хлопонин  провел  совещание  с  членами  инициативной  группы  по ",орагнизации,,форума," ""Машук-2012"",  который  состоится  в  первой  половине июля.",,,OB  ,Ncfsdn,,,Ncmsgn,
6,"Бывший заместитель  главы  администрации  президента  Владислав  Сурков  назвал  этих  людей  ""рассерженными  горожанами "".",Бывший ,заместитель,,главы," администрации  президента  Владислав  Сурков  назвал  этих  людей  ""рассерженными  горожанами "".",,,KIN-SOC,Ncmsny,,,Ncmsgy,
7,"Бывший заместитель  главы  администрации  президента  Владислав  Сурков  назвал  этих  людей  ""рассерженными  горожанами "".",Бывший заместитель  ,главы,,администрации,"президента  Владислав  Сурков  назвал  этих  людей  ""рассерженными  горожанами "".",,,MB,Ncmsgy,,,Ncfsgn,
8,"Бывший заместитель  главы  администрации  президента  Владислав  Сурков  назвал  этих  людей  ""рассерженными  горожанами "".",Бывший заместитель  главы ,администрации,,президента,"Владислав  Сурков  назвал  этих  людей  ""рассерженными  горожанами "".",,,MB,Ncfsgn,,,Ncmsgy,
9,Должность:  профессор  биофизики  и  руководитель  отделения  рентгенологии  и  медицины.,Должность:  профессор  биофизики  и  ,руководитель,,отделения, рентгенологии  и  медицины.,,,MB,Ncmsny,,,Ncnsgn,
10,Должность:  профессор  биофизики  и  руководитель  отделения  рентгенологии  и  медицины.,Должность: ,профессор,,биофизики,и  руководитель  отделения  рентгенологии  и  медицины.,,,ATR,Ncmsny,,,Ncfsgn,
11,Должность:  профессор  биофизики  и  руководитель  отделения  рентгенологии  и  медицины.,Должность:  профессор  биофизики  и  руководитель  ,отеделения,,рентгенологии,и  медицины.,,,ATR,Ncnsgn,,,Ncfsgn,
12,Вернулся  из  армии  отец  малыша .,Вернулся  из  армии  ,отец,,малыша,,,,KIN-SOC,Ncmsny,Близкое родство,,Ncmsgy,
13,Это  лишь  адвокат  дьявола.,Это  лишь  ,адвокат,,дьявола,,,,KIN-SOC,Ncmsny,,,Ncmsgy,
14,"Нынешний  генеральный  директор  ""Би-би-си""  Марк  Томпсон  (Mark Thompson)  заявил  в  марте,  что  уйдет  с  поста главы  компании  осенью  2012  года, после  Олимпиады  в  Лондоне.",Нынешний  генеральный  ,директор,,"""Би-би-си""","Марк  Томпсон  (Mark Thompson)  заявил  в  марте,  что  уйдет  с  поста главы  компании  осенью  2012  года, после  Олимпиады  в  Лондоне.",,,MB,Ncmsny,,,Ncfsnn,
