Вершина,Зависимое,Лемма вершины,Лемма зависимого,Форма вершины,Форма зависимого,Отношение,Гиперонимы вершины,Гиперонимы зависимого,Ярлык
некорректность,высказываний,некорректность,высказывание,Ncfsnn,Ncpgn,PAR,['некорректность'],['высказывание'],
его,популярности,он,популярность,P-----a,Ncfsgn,PAR,['он'],['популярность'],
состав,правительства,состав,правительство,Ncmsan,Ncnsgn,PAR,['состав'],"['государственная организация', 'государственный орган', 'группа людей', 'орган (организация, учреждение)', 'орган власти', 'орган государственной власти', 'орган исполнительной власти', 'организация, учреждение', 'постоянная сущность', 'правительство', 'руководство, начальство', 'руководящий орган', 'совокупность людей', 'совокупность, целое', 'субъект деятельности']",
особенности,охоты,особенность,охота,Ncfpnn,Ncfsgn,PAR,['особенность'],"['действие, целенаправленное действие', 'захватить, завладеть', 'ловля добычи', 'овладеть (стать обладателем)', 'отнять, лишить', 'охота', 'получить в распоряжение', 'происходящая сущность']",
безопасности,работ,безопасность,работа,Ncfsgn,Ncfpgn,PAR,"['безопасность', 'обстоятельства, обстановка, условия', 'постоянная сущность']",['работа'],
состояние,его,состояние,он,Ncnsan,P-3msan,PAR,['состояние'],['он'],
тяжесть,течения,тяжесть,течение,Ncnsan,Ncnsgn,PAR,['тяжесть'],['течение'],
течения,заболевания,течение,заболевание,Ncnsgn,Ncnsgn,PAR,['течение'],['заболевание'],
здоровье,человека,здоровье,человек,Ncnsan,Ncmsgy,PAR,"['здоровье', 'обстоятельства, обстановка, условия', 'порядок (состояние)', 'постоянная сущность', 'состояние организма', 'состояние, внутренние обстоятельства']","['биологическая сущность', 'живой организм', 'постоянная сущность', 'субъект деятельности', 'физическая сущность', 'человек']",
благосклонностью,вора,благосклонность,вор,Ncfsin,Ncmsgy,PAR,['благосклонность'],"['биологическая сущность', 'вор', 'живой организм', 'нарушитель правил, обычаев', 'плохой человек', 'постоянная сущность', 'похититель', 'правонарушитель', 'преступник', 'субъект деятельности', 'человек']",
невыгодность,условия,невыгодность,условие,Ncfsnn,Ncnsgn,PAR,['невыгодность'],['условие'],
вице-президент,центра,вице-президент,центр,Ncfsnn,Ncnsgn,PAR,"['административная должность', 'вице-президент', 'государственный служащий', 'должностное лицо', 'должность', 'живой организм', 'заместитель должностного лица', 'работник', 'роль, положение, место', 'служащий (работник)', 'субъект деятельности', 'человек']",['центр'],
пользе,образования,польза,образование,Ncfsgn,Ncmsgn,PAR,['польза'],['образование'],
наступления,кризиса,наступление,кризис,Ncnsgn,Ncmsgn,PAR,['наступление'],['кризис'],
благах,роста,благо,рост,Ncfsnn,Ncmpgy,PAR,['благо'],['рост'],
характеристику,развития,характеристика,развитие,Ncfsdn,Ncnsgn,PAR,['характеристика'],"['измениться, изменение', 'происходящая сущность', 'процесс, смена состояний', 'развитие']",
особенностей,подростка,особенность,подросток,Ncfsgn,Ncmsgy,PAR,['особенность'],"['биологическая сущность', 'группа людей', 'живой организм', 'молодой человек', 'несовершеннолетние дети', 'подросток', 'постоянная сущность', 'совокупность людей', 'социальная общность', 'социально-демографическая общность', 'социальные институты', 'социальные отношения', 'субъект деятельности', 'физическая сущность', 'человек', 'человек по возрасту']",
состояние,мэра,состояние,мэр,Ncnsnn,Ncmsgy,PAR,['состояние'],['мэр'],
образа,полковника,образ,полковник,Ncmsgn,Npmsgy,PAR,['образ'],"['вариант, разновидность', 'военнослужащий', 'воин (человек)', 'воинское звание', 'звание', 'знак, обозначение', 'изображение (результат)', 'название, наименование', 'офицер', 'полковник', 'старший офицерский состав', 'тип, вид, класс', 'человек по сфере деятельности']",
здоровья,человека,здоровье,человек,Ncnsgn,Ncmsgy,PAR,"['здоровье', 'обстоятельства, обстановка, условия', 'порядок (состояние)', 'постоянная сущность', 'состояние организма', 'состояние, внутренние обстоятельства']","['биологическая сущность', 'живой организм', 'постоянная сущность', 'субъект деятельности', 'физическая сущность', 'человек']",
размера,выплаты,размер,выплата,Ncmsgn,Ncfsgn,PAR,['размер'],['выплата'],
объектов,назначения,объект,назначение,Ncmpgn,Ncnsgn,PAR,['объект'],['назначение'],
качествами,руководителя,качество,руководитель,Ncnpin,Ncmsgy,PAR,['качество'],"['биологическая сущность', 'живой организм', 'лидер', 'постоянная сущность', 'руководитель', 'субъект деятельности', 'физическая сущность', 'человек']",
