№,Вершина,Зависимое,Лемма вершины,Лемма зависимого,Форма вершины,Форма зависимого,Производящее вершины,Производящее зависимого,Отношение,Гиперонимы вершины,Гиперонимы зависимого,Гиперонимы вершины WV,Гиперонимы зависимого WV,Ярлык
1,сын,партнера,сын,партнер,Ncmsny,Ncmsny,N,N,KIN-SOC,"['человек мужского пола', 'микрокосм', 'несовершеннолетние дети', 'индивид', 'человек', 'мужчина', 'ребята', 'личностный', 'родной', 'родственник', 'сын', 'личность', 'близкая родня', 'человеческий', 'ребенок', 'персона', 'родня', 'живой организм', 'родная кровь', 'ребеночек', 'дети', 'индивидуум', 'дитя', 'люди', 'сыновья и дочери', 'воинское звание', 'потомство', 'плохой человек', 'человечий', 'субъект деятельности', 'сродственник', 'правонарушитель', 'детки', 'человек по возрасту', 'биологическая сущность', 'людской', 'социальная общность', 'мужчина, человек мужского пола', 'дети (сыновья и дочери)', 'совершеннолетний, взрослый человек', 'человеческая личность', 'лицо', 'особа', 'близкий родственник', 'социально-демографическая общность']","['сторона (группа лиц)', 'участник', 'субъект деятельности', 'сторона', 'постоянная сущность', 'партнер', 'партнер (участник)']",родственник,исполнитель,,
2,вице-премьер,правительства,вице-премьер,правительство,Nsmsny,Ncnsgn,N,Vn,MB,"['слуга народа', 'сотрудник', 'госслужащая', 'чиновница', 'госчиновник', 'служащий (работник)', 'служащая', 'госслужащий', 'рабочие руки', 'труженик', 'чин', 'специалист', 'чиновничество', 'должность', 'чиновнический', 'должностное лицо', 'административная должность', 'труженица)', 'чиновный', 'чиновник', 'трудящийся', 'чиновничий', 'государственный чиновник', 'заместитель должностного лица', 'труженица', 'служащий', 'служащий гражданин)', 'работник', 'специалистка', 'государственный служащий', 'вице-премьер', 'работница', 'трудящийся человек', 'сотрудница']","['администрация', 'государственный орган', 'группа людей', 'групповой', 'группа лиц', 'состав', 'ведомство', 'совокупность людей', 'орган государственной власти', 'ведомственный', 'совокупность', 'руководство', 'группа', 'исполнительный орган власти', 'субъект деятельности', 'начальство', 'орган государственного управления', 'исполнительные органы', 'управленческий аппарат', 'исполнительный орган государственной власти', 'орган исполнительной власти', 'целое', 'правительство', 'руководство, начальство', 'административный']",глава,организация,,
3,представитель,президента,представитель,президент,Ncmsny,Ncmsgy,Vt,N,KIN-SOC,"['микрокосм', 'сотрудник', 'служащий (работник)', 'служащая', 'индивид', 'представитель', 'рабочие руки', 'человек', 'труженик', 'специалист', 'личностный', 'должностное лицо', 'личность', 'труженица)', 'человеческий', 'представитель интересов', 'персона', 'человек по роли', 'живой организм', 'трудящийся', 'индивидуум', 'люди', 'плохой человек', 'человечий', 'труженица', 'субъект деятельности', 'правонарушитель', 'служащий', 'служащий гражданин)', 'работник', 'специалистка', 'работница', 'биологическая сущность', 'людской', 'трудящийся человек', 'человеческая личность', 'лицо', 'сотрудница', 'постоянная сущность', 'особа', 'воинское звание']","['личностный', 'людской', 'индивидуум', 'руководитель', 'люди', 'микрокосм', 'личность', 'лидер', 'человеческая личность', 'человечий', 'лицо', 'глава государства', 'человеческий', 'индивид', 'государственный деятель', 'особа', 'персона', 'человек', 'политический деятель', 'президент']",руководитель,глава,,
4,президента,рф,президент,рф,Ncmsgy,Ncfsgn,N,N,MB,"['личностный', 'людской', 'индивидуум', 'руководитель', 'люди', 'микрокосм', 'личность', 'лидер', 'человеческая личность', 'человечий', 'лицо', 'глава государства', 'человеческий', 'индивид', 'государственный деятель', 'особа', 'персона', 'человек', 'политический деятель', 'президент']","['предметный', 'рф', 'общегосударственный', 'державный', 'этническая общность', 'национальный', 'федеративное государство', 'страна мира', 'публично-правовое образование', 'государство', 'государственный', 'держава', 'вещичка', 'вещественный', 'союз (объединение)', 'субъект права', 'государство мира', 'общенациональный', 'субъект деятельности', 'страновой', 'вещь', 'вещевой', 'страна', 'многонациональное государство', 'постоянная сущность', 'вещица', 'предмет', 'объединение (то, что объединено)']",глава,глава,,
5,оргaнизации,форума,оргaнизация,форум,Ncfsdn,Ncmsgn,Vt,N,OB,['оргaнизация'],"['физически существующая сущность', 'мероприятие', 'деятельность', 'сделать', 'собрание', 'занятие', 'происходящая сущность', 'занятие, деятельность', 'место в пространстве', 'действие', 'событие', 'состав', 'целенаправленное действие', 'форум', 'совершать действие', 'совокупность', 'интернет-сайт', 'делаться', 'совершить действие', 'совершение действия', 'физическая сущность', 'вещество', 'действие, целенаправленное действие', 'акт', 'целое', 'делать', 'суть,существо,сущность,содержание', 'действовать', 'акция']",родственник,организация,,
6,заместитель,главы,заместитель,глава,Ncmsny,Ncmsgy,Vt,N,KIN-SOC,"['заместитель', 'сотрудник', 'служащий (работник)', 'служащая', 'рабочие руки', 'труженик', 'специалист', 'должность', 'должностное лицо', 'административная должность', 'труженица)', 'трудящийся', 'заместитель должностного лица', 'труженица', 'служащий', 'служащий гражданин)', 'работник', 'специалистка', 'роль, положение, место', 'работница', 'трудящийся человек', 'сотрудница']","['микрокосм', 'индивид', 'человек', 'личностный', 'личность', 'лидер', 'человеческий', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'глава', 'человечий', 'субъект деятельности', 'правонарушитель', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'постоянная сущность', 'особа', 'звание', 'воинское звание']",должность,глава,,
7,главы,администрации,глава,администрация,Ncmsgy,Ncfsgn,N,N,MB,"['микрокосм', 'индивид', 'человек', 'личностный', 'личность', 'лидер', 'человеческий', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'глава', 'человечий', 'субъект деятельности', 'правонарушитель', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'постоянная сущность', 'особа', 'звание', 'воинское звание']","['администрация', 'государственная организация', 'государственный орган', 'орган (организация, учреждение)', 'орган государственной власти']",глава,руководитель,,
8,администрации,президента,администрация,президент,Ncfsgn,Ncmsgy,N,N,MB,"['администрация', 'государственная организация', 'государственный орган', 'орган (организация, учреждение)', 'орган государственной власти']","['личностный', 'людской', 'индивидуум', 'руководитель', 'люди', 'микрокосм', 'личность', 'лидер', 'человеческая личность', 'человечий', 'лицо', 'глава государства', 'человеческий', 'индивид', 'государственный деятель', 'особа', 'персона', 'человек', 'политический деятель', 'президент']",руководитель,глава,,
9,руководитель,отделения,руководитель,отделение,Ncmsny,Ncnsgn,Vt,Vt,MB,"['физически существующая сущность', 'руководитель', 'микрокосм', 'индивид', 'человек', 'личностный', 'личность', 'лидер', 'человеческий', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'человечий', 'субъект деятельности', 'правонарушитель', 'физическая сущность', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'постоянная сущность', 'особа', 'звание', 'воинское звание']","['удалить, отдалить на расстояние', 'формирование, подразделение', 'обуславливать, способствовать', 'отделение', 'принудить, заставить', 'переместить', 'изменить, сделать иным', 'субъект деятельности', 'увеличить', 'целенаправленное действие', 'постоянная сущность', 'прекратить, положить конец', 'делить, разделять на части', 'разъединить, прервать соединение', 'структурное подразделение']",руководитель,отдел,,
10,профессор,биофизики,профессор,биофизик,Ncmsny,Ncfsgn,N,N,ATR,"['ученый-исследователь', 'микрокосм', 'сотрудник', 'служащий (работник)', 'служащая', 'индивид', 'тип, вид, класс', 'рабочие руки', 'класс', 'человек', 'труженик', 'специалист', 'категория', 'личностный', 'вид', 'разряд', 'ученый', 'личность', 'труженица)', 'человеческий', 'название', 'видовой', 'персона', 'наименование', 'род', 'трудящийся', 'исследователь', 'тип классификации', 'класс в классификации', 'индивидуум', 'люди', 'подразделение классификации', 'человечий', 'труженица', 'подразделение', 'работник', 'работник высшей школы', 'служащий', 'служащий гражданин)', 'научный работник', 'тип', 'специалистка', 'работница', 'людской', 'класс классификации', 'трудящийся человек', 'человеческая личность', 'название, наименование', 'лицо', 'сотрудница', 'профессор', 'профессорско-преподавательский состав', 'особа', 'звание', 'ученое звание']","['ученый-исследователь', 'микрокосм', 'сотрудник', 'физик', 'служащий (работник)', 'служащая', 'индивид', 'рабочие руки', 'труженик', 'человек', 'специалист', 'личностный', 'ученый', 'труженица)', 'личность', 'человеческий', 'персона', 'трудящийся', 'исследователь', 'индивидуум', 'люди', 'труженица', 'человечий', 'служащий', 'служащий гражданин)', 'работник', 'научный работник', 'специалистка', 'работница', 'людской', 'трудящийся человек', 'биофизик', 'человеческая личность', 'лицо', 'сотрудница', 'особа']",сотрудник,сотрудник,,
